2023-08-24_21:15:46.60, 34.885426448333334, -120.483194475, 207.68, 54.0, 60.0, 55.0, 64.0, 64.0, 62.0, 65.0
2023-08-24_21:15:47.60, 34.88542436666667, -120.48319437, 207.68, 57.0, 56.0, 54.0, 62.0, 63.0, 62.0, 69.0
2023-08-24_21:15:48.60, 34.885422221666666, -120.48319436, 207.68, 55.0, 65.0, 54.0, 57.0, 61.0, 58.0, 61.0
2023-08-24_21:15:49.60, 34.88542008333334, -120.48319436666667, 207.68, 57.0, 62.0, 59.0, 60.0, 61.0, 66.0, 62.0
2023-08-24_21:15:50.60, 34.88541801666667, -120.48319434, 207.68, 60.0, 59.0, 62.0, 58.0, 56.0, 58.0, 58.0
2023-08-24_21:15:51.60, 34.88541594833333, -120.48319435666667, 207.68, 60.0, 59.0, 62.0, 58.0, 56.0, 58.0, 58.0
2023-08-24_21:15:52.60, 34.885413883333335, -120.48319433666667, 207.68, 59.0, 64.0, 59.0, 54.0, 58.0, 64.0, 59.0
2023-08-24_21:15:53.60, 34.885411641666664, -120.48319428166667, 207.68, 62.0, 68.0, 57.0, 62.0, 58.0, 55.0, 57.0
2023-08-24_21:15:54.60, 34.88540957833333, -120.48319425333334, 207.68, 64.0, 64.0, 61.0, 62.0, 57.0, 54.0, 57.0
2023-08-24_21:15:55.60, 34.8854075, -120.483194215, 207.68, 59.0, 69.0, 58.0, 62.0, 55.0, 57.0, 58.0
2023-08-24_21:15:56.60, 34.885405381666665, -120.48319420166666, 207.68, 61.0, 61.0, 58.0, 63.0, 62.0, 57.0, 58.0
2023-08-24_21:15:57.60, 34.885403221666664, -120.48319405833334, 207.68, 61.0, 61.0, 60.0, 67.0, 61.0, 59.0, 55.0
2023-08-24_21:15:58.60, 34.88540106166667, -120.48319404333333, 207.68, 63.0, 62.0, 60.0, 61.0, 58.0, 60.0, 58.0
2023-08-24_21:15:59.60, 34.88539887666667, -120.48319396166667, 207.68, 60.0, 65.0, 59.0, 63.0, 57.0, 62.0, 63.0
2023-08-24_21:16:00.60, 34.88539690166667, -120.48319384166666, 207.68, 62.0, 69.0, 63.0, 62.0, 56.0, 59.0, 56.0
2023-08-24_21:16:01.60, 34.885394696666665, -120.48319383833334, 207.68, 57.0, 65.0, 60.0, 64.0, 64.0, 60.0, 56.0
2023-08-24_21:16:02.60, 34.885392593333336, -120.483193735, 207.68, 57.0, 65.0, 60.0, 64.0, 64.0, 60.0, 56.0
2023-08-24_21:16:03.60, 34.88539048, -120.48319390166667, 207.68, 58.0, 61.0, 54.0, 59.0, 56.0, 57.0, 63.0
2023-08-24_21:16:04.60, 34.885388418333335, -120.48319370333333, 207.68, 63.0, 62.0, 59.0, 61.0, 57.0, 58.0, 54.0
2023-08-24_21:16:05.60, 34.88538625166667, -120.48319376333333, 207.68, 60.0, 58.0, 58.0, 62.0, 57.0, 57.0, 56.0
