2023-05-18_22:52:19.60, 0.0, 0.0, 39.0
2023-05-18_22:52:20.60, -0.005926096229813993, 0.04110564989969134, 40.0
2023-05-18_22:52:21.60, -0.002842739806510508, 0.08151622535660863, 40.0
2023-05-18_22:52:22.60, 1.4955294318497181e-05, 0.11285562114790082, 39.0
2023-05-18_22:52:23.60, -0.007180606131441891, 0.1380181284621358, 37.0
2023-05-18_22:52:24.60, -0.0064774611964821815, 0.1761478460393846, 40.0
2023-05-18_22:52:25.60, -0.003745037945918739, 0.2004537172615528, 39.0
2023-05-18_22:52:26.60, -0.001607665210030973, 0.22418937273323536, 38.0
2023-05-18_22:52:27.60, -0.0001047999830916524, 0.21904749376699328, 39.0
2023-05-18_22:52:28.60, -0.0076023630099371076, 0.19036479340866208, 38.0
2023-05-18_22:52:29.60, -0.01002376270480454, 0.19566823542118073, 38.0
