16:14:58.00, 0.0, 0.0, 38.0
16:14:59.00, -0.004660447943024337, -0.02639017766341567, 38.0
16:15:00.00, -0.016393305850215256, -0.0742368707433343, 38.0
16:15:01.00, -0.021086789201945066, -0.09933283226564527, 38.0
16:15:02.00, -0.027250102953985333, -0.12058113235980272, 38.0
16:15:03.00, -0.03459151473361999, -0.13149902317672968, 38.0
16:15:04.00, -0.04390127130318433, -0.15486272890120745, 38.0
16:15:05.00, -0.047117637819610536, -0.17215062864124775, 38.0
16:15:06.00, -0.048697296413592994, -0.169970846734941, 37.0
16:15:07.00, -0.05197286221664399, -0.19688070099800825, 37.0
16:15:08.00, -0.042852296377532184, -0.1899875858798623, 37.0
16:15:09.00, -0.05391761043574661, -0.21025095973163843, 38.0
16:15:10.00, -0.055810030666179955, -0.20178886922076344, 38.0
16:15:11.00, -0.058240001439116895, -0.21406146232038736, 38.0
16:15:12.00, -0.0603606483200565, -0.22651116829365492, 38.0
16:15:13.00, -0.06370443699415773, -0.2388070859014988, 38.0
16:15:14.00, -0.06363836629316211, -0.24139551864936948, 39.0
16:15:15.00, -0.06702806451357901, -0.245922249276191, 39.0
16:15:16.00, -0.06342471286188811, -0.24379517789930105, 38.0
16:15:17.00, -0.05852014303673059, -0.23293948825448751, 38.0
16:15:18.00, -0.058100988855585456, -0.23144872020930052, 38.0
16:15:19.00, -0.058088534395210445, -0.261789811309427, 38.0
